consulta	nombre	categoria	direccion	pagina_web	telefono
ferreteria	Ferreteria Fama	Ferreterias	Hornillas 076 Punta Arenas - XII Región	NA	(56)612710709
ferreteria	El Morro	Ferreterias	Manuel Montt 1190 Tomé - VIII Región	NA	(56)412650502
ferreteria	Ferreteria el Puerto	Ferreterias	Av Pedro Montt 70 Castro - X Región	NA	(56)652632718
ferreteria	Ilabaca Lucero Jorge Gabriel	Ferreterias	Pza de Armas 98 Santa Cruz - VI Región	NA	(56)722825731
ferreteria	Ferretería Wiamar	Ferreterias	Av Blanca Vergara 1395 Viña del Mar - V Región	www.wiamar.cl	(56)322582223
ferreteria	Ferreteria el Maestro	Ferreterias	Ignacio Serrano 39 Rengo - VI Región	NA	(56)972511186
ferreteria	Araya Ahumada Patricio Hernan	Ferreterias	Av Independencia 2316 Valparaíso - V Región	NA	(56)322593949
ferreteria	Ferreteria Genesis	Ferreterias	Ongolmo 853 Mejillones - II Región	NA	(56)552622519
ferreteria	Ferreteria Huechuraba	Ferreterias	Alberto González 4516 CONCHALÍ - RM	NA	(56)229956618
ferreteria	Ferrecon	Ferreterias	Av Andalién 350 Concepción - VIII Región	NA	(56)412981376
ferreteria	Comercial Ñuble	Ferreterias	Av Grecia 8989 PEÑALOLÉN - RM	NA	(56)223580691
ferreteria	Ferreteria Ferrando Aluminios y Vidrios	Ferreterias	Av Manuel Señoret 363 Porvenir - XII Región	www.empresasferrando.cl	(56)612580003
ferreteria	Ferreteria Sambuceti	Ferreterias	Condell 18 Villa Alemana - V Región	www.ferreteriasambuceti.cl	(56)322953199
ferreteria	Ferreteria Taltal	Ferreterias	Taltal 669 Antofagasta - II Región	www.ferreteriataltal.cl	(56)552260089
ferreteria	Ferreteria la Francesa	Ferreterias	Esmeralda 2301 La Serena - IV Región	NA	(56)512252863
ferreteria	Ferreteria Agrovivienda	Ferreterias	Blanco Encalada 4761 Olmué - V Región	NA	(56)332441151
ferreteria	Asencio Barrientos Carlos	Ferreterias	Santa María 1653 Osorno - X Región	www.ferreteriaemcob.cl	(56)642237154
ferreteria	Ferreteria Alma'S	Ferreterias	Arturo Prat 2338 San Javier - VII Región	NA	(56)732323096
ferreteria	Comercial Baro	Ferreterias	PROVIDENCIA 472 Salamanca - IV Región	www.comercialbaro.cl	(56)532551012
ferreteria	Ferreteria el Galpon	Ferreterias	Patricio Lynch 793 Arica - XV Región	NA	(56)582583651
ferreteria	Ferreteria Peñarol	Ferreterias	Baquedano 2792 La Serena - IV Región	NA	(56)512251471
ferreteria	Ferreteria Mac-Iven	Ferreterias	Av Los Cóndores 3748 Alto Hospicio - I Región	NA	(56)572313758
ferreteria	Ferreteria Martin	Ferreterias	Tucapel 0415 Punta Arenas - XII Región	NA	(56)612280347
ferreteria	Ferreteria Nueva Bilbao	Ferreterias	Av Francisco Bilbao 2401 PROVIDENCIA - RM	NA	(56)222253153
ferreteria	Ferreteria Munoz	Ferreterias	Av Doctor Guillermo Mucke 650 Algarrobo - V Región	NA	(56)352481014
ferreteria	Ferreteria el Carmen	Ferreterias	Pje 3 32 San Pedro de la Paz - VIII Región	NA	(56)412374983
ferreteria	Ferreteria el Aguila	Ferreterias	San Martín 670 Castro - X Región	NA	(56)652635902
ferreteria	Ferreteria Fergo	Ferreterias	México 2259 La Serena - IV Región	NA	(56)512255863
ferreteria	Ferreteria G y C	Ferreterias	José Joaquín Pérez 208 Lebu - VIII Región	www.comercialgyc.cl	(56)412511381
